,name,pdf,ref,text,abstract,intro,bibliography,review,review_html,acknowledgements,conclusion,related
0,6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning,Articles/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.pdf,https://papers.nips.cc/paper/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.pdf,ArticleText/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt,Abstracts/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt,IntroText/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt,ReferencesText6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.json,ReviewText/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt,Reviews/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.html,AcknowledgementsText/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt,ConclusionText/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt,RelatedText/6606-wider-and-deeper-cheaper-and-faster-tensorized-lstms-for-sequence-learning.txt
1,6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data,Articles/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.pdf,https://papers.nips.cc/paper/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.pdf,ArticleText/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.txt,Abstracts/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.txt,IntroText/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.txt,ReferencesText6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.json,ReviewText/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.txt,Reviews/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.html,AcknowledgementsText/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.txt,,RelatedText/6607-concentration-of-multilinear-functions-of-the-ising-model-with-applications-to-network-data.txt
2,6608-deep-subspace-clustering-networks,Articles/6608-deep-subspace-clustering-networks.pdf,https://papers.nips.cc/paper/6608-deep-subspace-clustering-networks.pdf,ArticleText/6608-deep-subspace-clustering-networks.txt,Abstracts/6608-deep-subspace-clustering-networks.txt,IntroText/6608-deep-subspace-clustering-networks.txt,ReferencesText6608-deep-subspace-clustering-networks.json,ReviewText/6608-deep-subspace-clustering-networks.txt,Reviews/6608-deep-subspace-clustering-networks.html,AcknowledgementsText/6608-deep-subspace-clustering-networks.txt,ConclusionText/6608-deep-subspace-clustering-networks.txt,RelatedText/6608-deep-subspace-clustering-networks.txt
3,6609-attentional-pooling-for-action-recognition,Articles/6609-attentional-pooling-for-action-recognition.pdf,https://papers.nips.cc/paper/6609-attentional-pooling-for-action-recognition.pdf,ArticleText/6609-attentional-pooling-for-action-recognition.txt,Abstracts/6609-attentional-pooling-for-action-recognition.txt,IntroText/6609-attentional-pooling-for-action-recognition.txt,ReferencesText6609-attentional-pooling-for-action-recognition.json,ReviewText/6609-attentional-pooling-for-action-recognition.txt,Reviews/6609-attentional-pooling-for-action-recognition.html,AcknowledgementsText/6609-attentional-pooling-for-action-recognition.txt,ConclusionText/6609-attentional-pooling-for-action-recognition.txt,RelatedText/6609-attentional-pooling-for-action-recognition.txt
4,6610-on-the-consistency-of-quick-shift,Articles/6610-on-the-consistency-of-quick-shift.pdf,https://papers.nips.cc/paper/6610-on-the-consistency-of-quick-shift.pdf,ArticleText/6610-on-the-consistency-of-quick-shift.txt,Abstracts/6610-on-the-consistency-of-quick-shift.txt,IntroText/6610-on-the-consistency-of-quick-shift.txt,ReferencesText6610-on-the-consistency-of-quick-shift.json,ReviewText/6610-on-the-consistency-of-quick-shift.txt,Reviews/6610-on-the-consistency-of-quick-shift.html,AcknowledgementsText/6610-on-the-consistency-of-quick-shift.txt,ConclusionText/6610-on-the-consistency-of-quick-shift.txt,RelatedText/6610-on-the-consistency-of-quick-shift.txt
5,6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization,Articles/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.pdf,https://papers.nips.cc/paper/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.pdf,ArticleText/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt,Abstracts/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt,IntroText/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt,ReferencesText6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.json,ReviewText/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt,Reviews/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.html,AcknowledgementsText/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt,ConclusionText/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt,RelatedText/6611-breaking-the-nonsmooth-barrier-a-scalable-parallel-method-for-composite-optimization.txt
6,6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis,Articles/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.pdf,https://papers.nips.cc/paper/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.pdf,ArticleText/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt,Abstracts/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt,IntroText/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt,ReferencesText6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.json,ReviewText/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt,Reviews/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.html,AcknowledgementsText/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt,ConclusionText/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt,RelatedText/6612-dual-agent-gans-for-photorealistic-and-identity-preserving-profile-face-synthesis.txt
7,6613-dilated-recurrent-neural-networks,Articles/6613-dilated-recurrent-neural-networks.pdf,https://papers.nips.cc/paper/6613-dilated-recurrent-neural-networks.pdf,ArticleText/6613-dilated-recurrent-neural-networks.txt,Abstracts/6613-dilated-recurrent-neural-networks.txt,IntroText/6613-dilated-recurrent-neural-networks.txt,ReferencesText6613-dilated-recurrent-neural-networks.json,ReviewText/6613-dilated-recurrent-neural-networks.txt,Reviews/6613-dilated-recurrent-neural-networks.html,AcknowledgementsText/6613-dilated-recurrent-neural-networks.txt,ConclusionText/6613-dilated-recurrent-neural-networks.txt,RelatedText/6613-dilated-recurrent-neural-networks.txt
8,6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs,Articles/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.pdf,https://papers.nips.cc/paper/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.pdf,ArticleText/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt,Abstracts/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt,IntroText/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt,ReferencesText6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.json,ReviewText/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt,Reviews/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.html,AcknowledgementsText/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt,ConclusionText/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt,RelatedText/6614-hunt-for-the-unique-stable-sparse-and-fast-feature-learning-on-graphs.txt
9,6615-scalable-generalized-linear-bandits-online-computation-and-hashing,Articles/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.pdf,https://papers.nips.cc/paper/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.pdf,ArticleText/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.txt,Abstracts/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.txt,IntroText/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.txt,ReferencesText6615-scalable-generalized-linear-bandits-online-computation-and-hashing.json,ReviewText/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.txt,Reviews/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.html,AcknowledgementsText/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.txt,,RelatedText/6615-scalable-generalized-linear-bandits-online-computation-and-hashing.txt
